State,City,Sulfur dioxide(SO2)-Air Quality in Industrial Areas,Sulfur dioxide(SO2)-Air Quality in Residential Areas,Nitrogen dioxide(NO2)-Air Quality in Industrial Areas,Nitrogen dioxide(NO2)-Air Quality in Residential Areas,Respirable Suspended Particulate Matter(RSPM)-Air Quality in Industrial Areas,Respirable Suspended Particulate Matter(RSPM)-Air Quality in Residential Areas,Suspended Particulate Matter(SPM)-Air Quality in Industrial Areas,Suspended Particulate Matter(SPM)-Air Quality in Residential Areas
Andhra Pradesh,Hyderabad,Low,Low,Low,Moderate,Moderate,Critical,Moderate,Critical
Andhra Pradesh,Visakhapatnam,Low,Low,Low,Moderate,Moderate,Critical,Moderate,Critical
Andhra Pradesh,Vijayawada,Low,Low,Low,Moderate,Moderate,High,Moderate,High
Andhra Pradesh,Patencheru,NA,Low,NA,Low,NA,Moderate,NA,Moderate
Andhra Pradesh,Kurnool,NA,Low,NA,Low,NA,High,NA,High
Assam,Guwahati,NA,Low,NA,Low,NA,Critical,NA,High
Assam,Bongaigaon,NA,Low,NA,Low,NA,Moderate,NA,Low
Assam,Tezpur,NA,Low,NA,Low,NA,Moderate,NA,Moderate
Bihar,Patna ,NA,Low,NA,Moderate,NA,Critical,NA,Critical
Chattisgarh,Bhilai,Low,Low,Low,Low,High,Critical,Moderate,High
Chattisgarh,Korba,NA,Low,NA,Low,NA,Critical,NA,Critical
Chattisgarh,Raipur,Low,Low,Low,Moderate,Critical,Critical,Moderate,Critical
Chandigarh,Chandigarh,Low,Low,Low,Low,High,Critical,Moderate,Critical
Delhi,Delhi,Low,Low,Moderate,Moderate,Critical,Critical,High,Critical
Gujarat,Ahmedabad,Low,Low,Low,Low,High,Critical,Moderate,Critical
Gujarat,Ankleshwar,Low,Low,Low,Low,High,Critical,Low,High
Gujarat,Jamnagar,NA,Low,NA,Low,NA,Critical,NA,High
Gujarat,Rajkot,Low,Low,Low,Low,High,High,Moderate,Moderate
Gujarat,Surat,Low,Low,Low,Moderate,High,Critical,Low,High
Gujarat,Vadodara,Low,Low,Low,Low,High,Critical,Moderate,Critical
Gujarat,Vapi,Low,Low,Low,Moderate,High,Critical,Low,High
Goa,Panjim,NA,Low,NA,Low,NA,Moderate,NA,Moderate
Goa,Vasco,Low,NA,Low,NA,Moderate,NA,Low,NA
Himachal Pradesh,Damtal,NA,Low,NA,Low,NA,Critical,NA,Critical
Himachal Pradesh,Parwanoo,Low,Low,Low,Low,Moderate,High,Moderate,High
Himachal Pradesh,Paonta Sahib,Low,Low,Low,Low,Moderate,Critical,Moderate,Critical
Himachal Pradesh,Shimla,NA,Low,NA,Low,NA,High,NA,Moderate
Himachal Pradesh,Baddi,Low,NA,Low,NA,NA,NA,High,NA
Himachal Pradesh,Kala Amb,Low,Low,Low,Low,NA,NA,High,High
Haryana,Faridabad,Low,Low,Low,Low,High,Critical,High,Critical
Haryana,Yamuna Nagar,Low,NA,Low,NA,High,NA,Moderate,NA
Haryana,Hissar,NA,Low,NA,Low,NA,Critical,NA,Critical
Jharkhand,Dhanbad,NA,Low,NA,Moderate,NA,Critical,NA,High
Jharkhand,Jharia,Low,NA,Moderate,NA,High,NA,Moderate,NA
Jharkhand,Sindri,Low,NA,Moderate,NA,Moderate,NA,Low,NA
Jharkhand,Jamshedpur,Low,NA,Moderate,NA,High,NA,Moderate,NA
Karnataka,Bangalore,Low,Low,Low,Moderate,High,Moderate,High,High
Karnataka,Mysore,Low,Low,Low,Low,Low,Moderate,Low,Moderate
Karnataka,Hubli-Dharwad,Low,Low,Low,Low,Low,High,Low,Critical
Karnataka,Belgaum,Low,NA,Low,NA,Low,NA,Low,NA
Karnataka,Hassan,NA,Low,NA,Low,NA,High,NA,High
Karnataka,Mangalore,Low,NA,Low,NA,Low,NA,Low,NA
Kerala,Kochi,Low,Low,Low,Low,Moderate,Moderate,Low,Moderate
Kerala,Kottayam,Low,Low,Low,Low,Low,Moderate,Low,Low
Kerala,Kozhikode,Low,Low,Low,Low,Low,Low,Low,Moderate
Kerala,Thiruvananthapuram,Low,Low,Low,Low,Moderate,High,Low,Moderate
Kerala,Palakad,Low,NA,Low,NA,High,NA,Low,NA
Maharashtra,Mumbai,Low,Low,Low,Moderate,Moderate,High,Moderate,Critical
Maharashtra,Chandrapur,Low,Low,Moderate,Moderate,Moderate,Critical,Low,High
Maharashtra,Dombivali,Low,NA,Moderate,NA,Moderate,NA,NA,NA
Maharashtra,Kolhapur,NA,Low,NA,Moderate,NA,NA,NA,NA
Maharashtra,Nagpur,Low,Low,Low,Moderate,High,Critical,Moderate,High
Maharashtra,Nashik,Low,Moderate,Low,Moderate,Moderate,High,Low,High
Maharashtra,Pune,Low,Low,Moderate,Moderate,High,Critical,Moderate,Critical
Maharashtra,Solapur,Low,Low,Low,Moderate,Moderate,Critical,Moderate,Critical
Maharashtra,Thane,Low,Low,Low,Low,Low,Moderate,NA,NA
Maharashtra,Aurangabad,NA,Low,NA,Low,NA,High,NA,Critical
Maharashtra,Navi Mumbai,NA,Low,NA,Low,NA,NA,NA,NA
Maharashtra,Lote,Low,NA,Low,NA,Low,NA,Low,NA
Maharashtra,Tarapur,Low,NA,Low,NA,Moderate,NA,Low,NA
Madhya Pradesh,Bhopal,Low,Low,Low,Low,Low,Critical,Low,Critical
Madhya Pradesh,Indore,Low,Low,Low,Low,High,Critical,Moderate,High
Madhya Pradesh,Jabalpur,NA,Low,NA,Low,NA,High,NA,High
Madhya Pradesh,Nagda,Low,Low,Low,Moderate,Moderate,Critical,Low,Moderate
Madhya Pradesh,Satna,Low,Low,Low,Low,Critical,Critical,High,Critical
Madhya Pradesh,Gwalior,NA,Low,NA,Low,NA,Critical,NA,Critical
Meghalaya,Shillong,NA,Low,NA,Low,NA,Moderate,NA,Low
Mizoram,Aizwal,NA,Low,NA,Low,NA,Moderate,NA,Moderate
Nagaland,Dimapur,NA,Low,NA,Low,NA,High,NA,High
Orissa,Angul,Low,Low,Low,Low,Moderate,High,Moderate,Moderate
Orissa,Bhubaneshwar,NA,Low,NA,Low,NA,Critical,NA,High
Orissa,Cuttack,NA,Low,NA,Moderate,NA,High,NA,Critical
Orissa,Rourkela,NA,Low,NA,Low,NA,Critical,NA,High
Orissa,Talcher,Low,NA,Low,NA,Moderate,NA,Moderate,NA
Orissa,Rayagada,Low,Low,Low,Low,Low,High,Low,Moderate
Orissa,Sambalpur,NA,Low,NA,Low,NA,Moderate,NA,Moderate
Orissa,Berhampur,NA,Low,NA,Low,NA,High,NA,High
Pondicherry,Pondicherry,Low,Low,Low,Low,Low,NA,Low,Moderate
Punjab,Gobindgarh,Low,Low,Low,Moderate,Critical,Critical,NA,NA
Punjab,Jalandhar,Low,Low,Low,Moderate,Critical,Critical,NA,NA
Punjab,Ludhiana,Low,Low,Low,Moderate,Critical,Critical,NA,NA
Punjab,Naya Nangal,NA,Low,NA,Low,NA,NA,NA,Critical
Punjab,Amritsar,Low,Low,Low,Moderate,NA,NA,High,Critical
Punjab,Khanna,Low,Low,Low,Moderate,Critical,Critical,NA,NA
Punjab,Derabassi,Low,NA,Low,NA,NA,NA,Moderate,NA
Punjab,Bhatinda,Low,NA,Low,NA,NA,NA,Moderate,NA
Rajasthan,Alwar,Low,Low,Low,Low,Moderate,Critical,Moderate,Critical
Rajasthan,Jaipur,Low,Low,Low,Moderate,Critical,Critical,High,Critical
Rajasthan,Kota,Low,Low,Low,Low,High,Critical,Moderate,Critical
Rajasthan,Udaipur,Low,Low,Moderate,Moderate,Moderate,High,High,High
Rajasthan,Jodhpur,Low,Low,Low,Low,Moderate,Critical,Moderate,Critical
Tamil Nadu,Chennai,Low,Low,Low,Low,Moderate,High,Low,High
Tamil Nadu,Coimbatore,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Tamil Nadu,Madurai,Low,Low,Low,Low,Low,Moderate,Low,Moderate
Tamil Nadu,Salem,NA,Low,NA,Moderate,NA,Moderate,NA,Low
Tamil Nadu,Tuticorin,Low,Low,Low,Low,Moderate,High,Low,Moderate
Uttaranchal,Dehradun,NA,Low,NA,Low,NA,Critical,NA,Critical
Uttar Pradesh,Anpara,Low,NA,Low,NA,High,NA,Moderate,NA
Uttar Pradesh,Gajraula,Low,NA,Low,NA,Moderate,NA,Moderate,NA
Uttar Pradesh,Kanpur,Low,Low,Low,Low,Critical,Critical,High,Critical
Uttar Pradesh,Firozabad,Low,Low,Low,Low,NA,NA,High,Critical
Uttar Pradesh,Lucknow,Low,Low,Low,Moderate,Critical,Critical,High,Critical
Uttar Pradesh,Noida,Low,Low,Moderate,Moderate,High,NA,High,Critical
Uttar Pradesh,Varanasi,NA,Low,NA,Low,NA,Critical,NA,Critical
Uttar Pradesh,Ghaziabad,Low,NA,Low,NA,Critical,NA,High,NA
Uttar Pradesh,Jhansi,NA,Low,NA,Low,NA,Critical,NA,Critical
West Bengal,Asansol,Low,NA,Moderate,NA,High,NA,Moderate,NA
West Bengal,Durgapur,Low,Low,Moderate,Moderate,Critical,High,High,High
West Bengal,Haldia,Low,NA,Moderate,NA,Moderate,NA,Moderate,NA
West Bengal,Howrah,Low,Low,High,High,High,Critical,Moderate,Critical
West Bengal,Kolkata,Low,Low,Moderate,High,High,Critical,Moderate,Critical
